Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8005.0837,10.4590,10.2154,0.2436,5.7338,8.9774,7.7350,1.2424,14.7894,12.1557,-0.2142,8005.0837,NA,13.8912,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8015.5427,11.4242,11.2158,0.2084,6.8443,9.4738,8.3313,1.1425,16.4861,11.1541,-1.6967,8015.5427,NA,19.0425,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8026.9669,11.4138,11.2213,0.1925,6.7579,9.3854,8.2109,1.1745,16.2160,10.1253,0.2701,8026.9669,NA,13.2045,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8038.3807,10.6739,10.3287,0.3452,5.3810,9.4563,8.0423,1.4140,14.9275,10.5446,1.2885,8038.3807,NA,13.3255,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8049.0546,10.6054,10.3878,0.2176,5.6586,9.0655,7.6849,1.3806,14.7982,11.0513,0.1293,8049.0546,NA,13.8717,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8059.6600,10.8702,10.5852,0.2850,6.0604,9.1121,7.9229,1.1892,15.2441,10.9231,-0.4459,8059.6600,NA,17.9237,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8070.5302,10.4726,10.2863,0.1863,6.0909,9.1372,8.1062,1.0310,15.2970,9.1750,-0.0529,8070.5302,NA,21.8480,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8081.0028,9.7734,9.5758,0.1976,5.3513,8.5682,7.5035,1.0647,13.9994,10.1679,1.2976,8081.0028,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8090.7762,10.4054,10.1906,0.2148,5.5567,8.7634,7.6481,1.1153,14.3939,9.7617,-0.3945,8090.7762,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8101.1816,9.5959,9.3796,0.2163,5.0384,8.6256,7.4413,1.1843,13.7502,11.1791,0.6437,8101.1816,NA,NA,NA
