Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8003.8394,7.9410,7.6873,0.2537,5.7309,8.1412,8.0751,0.0661,13.8721,7.8028,-0.5344,8003.8394,NA,13.8194,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8011.7804,8.3572,8.0220,0.3352,5.9311,7.8028,7.7808,0.0220,13.7339,7.8126,0.1382,8011.7804,NA,13.6237,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8020.1376,8.0548,7.7105,0.3443,5.3767,7.8126,7.7894,0.0232,13.1893,7.9312,0.5446,8020.1376,NA,15.4323,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8028.1924,8.3214,7.9833,0.3381,5.1345,7.9312,7.7056,0.2256,13.0657,8.4544,0.1236,8028.1924,NA,13.3684,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8036.5138,8.7953,8.5228,0.2725,4.7443,8.3579,7.8859,0.4720,13.1987,8.2896,-0.1330,8036.5138,NA,11.8189,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8045.3091,7.3732,7.1111,0.2621,4.4861,8.2069,8.0400,0.1669,12.6930,7.9087,0.5057,8045.3091,NA,12.1086,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8052.6823,8.0001,7.7082,0.2919,5.3198,7.9087,7.7289,0.1798,13.2285,7.8630,-0.5355,8052.6823,NA,12.0138,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8060.6824,7.7841,7.4674,0.3167,5.2284,7.8630,7.6868,0.1762,13.0914,7.7640,0.1371,8060.6824,NA,13.8822,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8068.4665,7.3198,7.1174,0.2024,5.3073,7.7640,7.7441,0.0199,13.0713,7.5797,0.0201,8068.4665,NA,13.6439,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8075.7863,7.8461,7.5438,0.3023,5.7515,7.5797,7.5746,0.0051,13.3312,7.7354,-0.2599,8075.7863,NA,13.2182,NA
