Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8001.1636,11.5599,11.3647,0.1952,6.2773,10.3022,9.0098,1.2924,16.6658,18.5534,1.9100,8001.1636,NA,18.0272,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8012.7235,15.7741,15.5530,0.2211,7.4620,16.1928,12.2938,3.8990,23.6593,8.5827,-6.9935,8012.7235,NA,24.5777,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8028.4976,9.3717,9.1686,0.2031,7.8980,8.5645,8.5427,0.0218,16.4679,9.1079,7.1914,8028.4976,NA,19.1614,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8037.8693,11.2185,10.9627,0.2558,7.1078,9.0214,8.6543,0.3671,16.2041,12.2403,0.2638,8037.8693,NA,22.2641,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8049.0878,11.6010,11.4012,0.1998,5.6422,11.5837,10.2779,1.3058,17.2259,15.5536,-1.0218,8049.0878,NA,18.5060,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8060.6888,14.4571,12.2914,2.1657,5.6249,15.5484,10.6173,4.9311,21.1785,8.3608,-3.9526,8060.6888,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8075.1459,9.5713,9.3245,0.2468,6.7714,8.2366,8.2237,0.0129,15.0822,11.6869,6.0963,8075.1459,NA,18.4188,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8084.7172,11.6032,11.3849,0.2183,5.7398,11.3832,9.9024,1.4808,17.1978,12.2180,-2.1156,8084.7172,NA,16.1089,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8096.3204,12.3610,12.1723,0.1887,6.6100,11.1318,10.0708,1.0610,17.8126,17.8113,-0.6148,8096.3204,NA,22.3222,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8108.6814,15.9822,15.7852,0.1970,10.4439,12.7324,10.9671,1.7653,23.2629,12.6944,-5.4503,8108.6814,NA,24.1375,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8124.6636,13.9627,13.7934,0.1693,8.2957,11.6155,9.9193,1.6962,19.9751,15.6052,3.2878,8124.6636,NA,16.8339,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8138.6263,15.0881,14.9023,0.1858,8.9528,12.5891,11.1127,1.4764,21.6176,11.3492,-1.6425,8138.6263,NA,18.4384,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8153.7144,12.3574,12.1394,0.2180,7.0812,10.7252,9.4575,1.2677,17.8787,12.3254,3.7389,8153.7144,NA,23.7355,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8166.0718,12.3325,12.1228,0.2097,6.5862,11.1882,9.8641,1.3241,17.8467,11.4350,0.0320,8166.0718,NA,18.1091,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8178.4043,11.7117,11.4181,0.2936,5.6908,11.1786,9.6811,1.4975,16.9492,11.7012,0.8975,8178.4043,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8190.1160,11.3203,11.1408,0.1795,5.9779,10.8820,9.2923,1.5897,16.9387,13.2999,0.0105,8190.1160,NA,19.2475,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8201.4363,12.9437,12.7164,0.2273,6.5654,12.2529,10.1944,2.0585,18.9183,11.6484,-1.9796,8201.4363,NA,20.5502,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8214.3800,12.2770,12.0706,0.2064,6.3503,11.1985,9.5029,1.6956,17.6230,11.0801,1.2953,8214.3800,NA,18.1992,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8226.6570,11.3643,11.1548,0.2095,5.7568,10.5969,9.0802,1.5167,16.4261,14.0954,1.1969,8226.6570,NA,13.2742,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8238.0213,12.8134,12.6192,0.1942,6.1958,12.9583,10.5977,2.3606,19.1572,10.8178,-2.7311,8238.0213,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8250.8347,11.6456,11.4388,0.2068,6.3925,10.7691,9.5267,1.2424,17.1616,9.8709,1.9956,8250.8347,NA,16.1800,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8262.4803,10.5035,10.3068,0.1967,5.5160,9.7976,8.5608,1.2368,15.3869,11.0645,1.7747,8262.4803,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8272.9838,10.4236,10.2525,0.1711,5.2212,10.6551,9.3791,1.2760,15.9479,10.7140,-0.5610,8272.9838,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8283.4074,10.5072,10.3316,0.1756,5.6671,10.4990,9.1294,1.3696,16.2383,14.6552,-0.2904,8283.4074,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8293.9146,13.3177,12.4483,0.8694,5.7913,14.5950,10.5498,4.0452,20.3863,8.7497,-4.1480,8293.9146,NA,18.4661,NA
