Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8010.5935,9.4026,9.1674,0.2352,5.2901,8.1615,7.3252,0.8363,13.5925,9.7553,0.9009,8010.5935,NA,11.6415,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8019.9961,9.6315,9.4520,0.1795,5.6892,8.1245,7.5141,0.6104,13.9452,9.9479,-0.3527,8019.9961,NA,11.3999,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8029.6276,9.6447,9.4803,0.1644,5.5690,8.5640,7.5682,0.9958,14.2616,9.1577,-0.3164,8029.6276,NA,13.3480,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8039.2723,9.6144,9.3186,0.2958,5.4050,8.2395,7.4349,0.8046,13.7746,11.4466,0.4870,8039.2723,NA,10.5065,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8048.8867,10.7347,10.5528,0.1819,6.6010,8.8551,8.2008,0.6543,15.6068,9.6151,-1.8322,8048.8867,NA,11.9532,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8059.6214,10.0241,9.8522,0.1719,5.9825,8.3792,7.6023,0.7769,14.4872,8.8873,1.1196,8059.6214,NA,15.5658,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8069.6455,9.2440,9.0429,0.2011,5.0875,8.1145,7.2036,0.9109,13.3504,10.1722,1.1368,8069.6455,NA,12.4549,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8078.8895,9.2716,9.0962,0.1754,5.1956,8.9554,7.6720,1.2834,14.2786,8.8348,-0.9282,8078.8895,NA,12.6273,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8088.1611,9.9119,9.7274,0.1845,5.6670,8.0368,7.2606,0.7762,13.8418,19.6569,0.4368,8088.1611,NA,11.4651,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8098.0730,14.1616,13.9020,0.2596,6.7798,14.1067,9.9459,4.1608,23.5868,6.1076,-9.7450,8098.0730,NA,21.1135,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8112.2346,7.3977,7.2071,0.1906,6.7396,6.7905,6.7905,0.0000,15.5328,6.5351,8.0540,8112.2346,NA,15.2289,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8119.6323,10.4448,10.2542,0.1906,6.2496,8.2604,7.3030,0.9574,14.6702,10.6205,0.8626,8119.6323,NA,11.7621,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8130.0771,10.4163,10.1553,0.2610,6.0385,8.6493,7.9790,0.6703,14.8459,10.9175,-0.1757,8130.0771,NA,14.3825,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,0,1,Hardware Composed: Independent Flip,8140.4934,10.5096,10.3303,0.1793,6.4046,8.7904,8.0188,0.7716,15.3471,10.0430,-0.5012,8140.4934,NA,11.2958,NA
