Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,7989.3597,8.8535,8.6588,0.1947,4.7880,8.6269,7.6976,0.9293,13.5125,8.1764,-0.5915,7989.3597,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,7998.2132,8.1514,7.8870,0.2644,4.5802,8.1864,7.3432,0.8432,12.8354,8.8635,0.6771,7998.2132,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8006.3646,8.6955,8.4798,0.2157,4.9599,8.3446,7.5747,0.7699,13.5475,7.7650,-0.7121,8006.3646,NA,16.6308,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8015.0601,7.9998,7.7792,0.2206,4.8229,7.6512,7.0147,0.6365,12.6170,9.1749,0.9305,8015.0601,NA,12.4352,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8023.0599,8.7701,8.5431,0.2270,4.6093,9.0829,7.8246,1.2583,13.7921,9.1624,-1.1751,8023.0599,NA,11.6066,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8031.8300,8.9985,8.8248,0.1737,5.0000,8.9785,7.7693,1.2092,14.1844,7.6426,-0.3923,8031.8300,NA,12.7787,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8040.8285,8.3730,8.1460,0.2270,5.1699,7.5959,7.1052,0.4907,12.8285,8.7273,1.3559,8040.8285,NA,12.4200,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8049.2015,8.4441,8.2251,0.2190,4.4574,8.6661,7.5803,1.0858,13.1828,8.2825,-0.3543,8049.2015,NA,11.1479,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8057.6456,8.3891,8.2088,0.1803,4.7340,8.1499,7.1645,0.9854,13.0212,9.3682,0.1616,8057.6456,NA,13.4268,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8066.0347,8.9988,8.7840,0.2148,4.5637,9.3631,7.8333,1.5298,14.0003,8.4460,-0.9791,8066.0347,NA,16.7967,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8075.0335,8.7724,8.5756,0.1968,5.0052,8.2942,7.1796,1.1146,13.4475,9.8507,0.5528,8075.0335,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8083.8059,9.6529,9.4100,0.2429,5.1968,9.2638,7.9786,1.2852,14.5258,8.6805,-1.0783,8083.8059,NA,17.0786,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8093.4588,8.8448,8.6462,0.1986,4.8857,8.5023,7.3995,1.1028,13.5534,9.2234,0.9724,8093.4588,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8102.3036,8.5930,8.3763,0.2167,4.6951,8.9781,7.7434,1.2347,13.9320,8.0103,-0.3786,8102.3036,NA,14.9878,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8110.8966,8.9023,8.6463,0.2560,5.3284,7.9629,7.1065,0.8564,13.3493,8.9606,0.5827,8110.8966,NA,13.0080,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8119.7989,8.6285,8.3913,0.2372,4.3890,8.8376,7.5391,1.2985,13.4076,8.7592,-0.0583,8119.7989,NA,11.9658,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8128.4274,8.6474,8.3115,0.3359,4.7243,8.7250,7.5705,1.1545,13.5383,8.3360,-0.1307,8128.4274,NA,14.7300,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8137.0748,8.3444,8.1750,0.1694,4.8177,8.2284,7.3438,0.8846,13.2269,7.6829,0.3114,8137.0748,NA,11.0661,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8145.4192,8.0429,7.8346,0.2083,4.8848,7.5924,7.0227,0.5697,12.5654,8.6671,0.6615,8145.4192,NA,10.7466,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8153.4621,8.3180,8.1281,0.1899,4.4539,8.5783,7.4578,1.1205,13.1896,7.7773,-0.6242,8153.4621,NA,11.4126,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8161.7801,8.0754,7.8277,0.2477,4.8139,7.7148,7.1176,0.5972,12.6489,8.2241,0.5407,8161.7801,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8169.8555,8.0349,7.8268,0.2081,4.4688,8.2272,7.4153,0.8119,12.7976,7.9343,-0.1487,8169.8555,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8177.8904,7.9323,7.7273,0.2050,4.7400,7.8621,7.1997,0.6624,12.6970,7.6854,0.1006,8177.8904,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8185.8227,7.9030,7.7014,0.2016,4.7524,7.5557,6.9660,0.5897,12.4501,9.2306,0.2469,8185.8227,NA,15.0311,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8193.7257,8.8253,8.6332,0.1921,4.7320,8.8265,7.5933,1.2332,13.7777,7.7853,-1.3276,8193.7257,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8202.5510,8.1112,7.9000,0.2112,4.8937,7.7467,7.1172,0.6295,12.7377,8.1862,1.0400,8202.5510,NA,18.0470,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8210.6622,8.2618,8.0786,0.1832,4.5940,8.0838,7.2191,0.8647,12.8127,9.1754,-0.0750,8210.6622,NA,12.2269,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8218.9240,8.9099,8.6724,0.2375,4.6669,8.9994,7.8350,1.1644,13.7263,8.4010,-0.9136,8218.9240,NA,11.4052,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8227.8339,8.5134,8.3196,0.1938,4.7758,8.3706,7.5242,0.8464,13.2174,8.3357,0.5089,8227.8339,NA,13.8126,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8236.3473,8.4407,8.1984,0.2423,4.7061,8.2614,7.2837,0.9777,13.0397,8.6992,0.1777,8236.3473,NA,12.1506,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8244.7880,8.4194,8.2059,0.2135,4.5847,8.5763,7.3569,1.2194,13.2982,7.7266,-0.2585,8244.7880,NA,14.8454,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8253.2074,7.9528,7.7014,0.2514,4.8309,7.7021,7.2004,0.5017,12.6054,8.4047,0.6928,8253.2074,NA,14.5772,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8261.1602,8.1841,7.9888,0.1953,4.6469,8.2781,7.3788,0.8993,13.0573,7.7022,-0.4519,8261.1602,NA,12.9798,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8269.3443,7.9848,7.7936,0.1912,4.8240,7.6825,7.0846,0.5979,12.5754,8.6054,0.4819,8269.3443,NA,14.6811,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8277.3291,8.2305,8.0051,0.2254,4.6141,8.2773,7.3869,0.8904,13.1960,7.7536,-0.6206,8277.3291,NA,17.2890,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8285.5596,8.0656,7.8721,0.1935,4.9530,7.5269,7.1030,0.4239,12.7191,7.6972,0.4769,8285.5596,NA,17.0412,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8293.6252,7.8183,7.5821,0.2362,4.6400,7.6445,7.0248,0.6197,12.3507,8.7043,0.3684,8293.6252,NA,14.7352,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8301.4435,8.4709,8.2742,0.1967,4.4815,8.6895,7.5146,1.1749,13.2367,8.0845,-0.8860,8301.4435,NA,11.4434,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8309.9144,8.6228,8.3730,0.2498,4.7514,7.9588,7.1398,0.8190,12.8503,18.2365,0.3864,8309.9144,NA,13.5259,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8318.5372,12.7439,12.5218,0.2221,6.0103,13.9575,10.1289,3.8286,22.4640,6.0508,-9.6137,8318.5372,NA,15.7534,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8331.2811,5.7092,5.4709,0.2383,7.2374,7.1085,7.0904,0.0181,15.7709,6.0554,6.6931,8331.2811,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8336.9903,8.7270,8.4593,0.2677,8.6496,6.7164,6.7017,0.0147,16.1171,6.1198,-0.3462,8336.9903,NA,13.8670,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8345.7173,7.8397,7.6663,0.1734,6.6497,6.7818,6.7633,0.0185,13.5099,7.3858,2.6072,8345.7173,NA,13.9898,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8353.5570,8.6633,8.4362,0.2271,5.6084,7.3792,6.9508,0.4284,13.0560,8.4615,0.4539,8353.5570,NA,11.3777,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8362.2203,8.1524,7.9092,0.2432,4.4019,8.3899,7.5317,0.8582,12.8542,7.4644,0.2018,8362.2203,NA,11.8375,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8370.3727,7.7467,7.5209,0.2258,4.6543,7.4425,6.9523,0.4902,12.1662,8.3674,0.6880,8370.3727,NA,13.3035,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8378.1194,7.9724,7.7624,0.2100,4.4271,8.1076,7.3033,0.8043,12.7869,7.4038,-0.6207,8378.1194,NA,11.6712,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8386.0918,7.8076,7.5662,0.2414,4.8009,7.3554,6.8633,0.4921,12.2183,8.5400,0.5686,8386.0918,NA,13.0720,NA
