Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,7995.3538,9.3142,3.8667,5.4475,27.6677,9.2036,9.2036,0.0000,37.0146,9.3009,0.0518,7995.3538,NA,36.4982,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8004.6680,9.4328,3.7638,5.6690,27.6411,9.2142,9.2142,0.0000,37.0013,9.2464,0.0133,8004.6680,NA,39.8032,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8014.1008,9.2282,3.6980,5.5302,27.5110,9.1722,9.1722,0.0000,36.8149,9.3087,0.1864,8014.1008,NA,37.6608,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8023.3290,9.3403,3.7778,5.5625,27.5399,9.2051,9.2051,0.0000,36.8954,9.2912,-0.0805,8023.3290,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8032.6693,9.2412,3.6789,5.5623,27.4966,9.2110,9.2110,0.0000,36.8463,9.2966,0.0491,8032.6693,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8041.9105,9.2788,3.7112,5.5676,27.5613,9.1985,9.1985,0.0000,36.9017,9.2782,-0.0554,8041.9105,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8051.1893,9.2575,3.7686,5.4889,27.5725,9.1772,9.1772,0.0000,36.9011,9.2945,0.0006,8051.1893,NA,43.2420,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8060.4468,9.3455,3.7900,5.5555,27.5803,9.2113,9.2113,0.0000,36.9381,9.2667,-0.0370,8060.4468,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8069.7923,9.3346,3.7848,5.5498,27.5304,9.1988,9.1988,0.0000,36.8593,9.2807,0.0788,8069.7923,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8079.1269,9.1592,3.7228,5.4364,27.4658,9.2653,9.2505,0.0148,36.8054,9.2072,0.0539,8079.1269,NA,39.9614,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8088.2861,9.3117,4.0170,5.2947,27.5719,9.1292,9.1292,0.0000,36.8534,9.2884,-0.0480,8088.2861,NA,37.2681,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8097.5978,9.3190,3.6949,5.6241,27.4914,9.2728,9.2583,0.0145,36.8301,9.1997,0.0233,8097.5978,NA,36.5618,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8106.9168,9.3133,3.9679,5.3454,27.4452,9.1285,9.1285,0.0000,36.7108,9.2504,0.1193,8106.9168,NA,35.7595,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8116.2301,9.1539,3.7030,5.4509,27.3394,9.1676,9.1676,0.0000,36.6479,9.2748,0.0629,8116.2301,NA,36.9183,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8125.3840,9.3369,4.0187,5.3182,27.4377,9.1625,9.1625,0.0000,36.7688,9.6112,-0.1209,8125.3840,NA,36.2791,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8134.7209,9.1652,3.6793,5.4859,27.4922,9.4072,9.2534,0.1538,37.0431,9.2328,-0.2743,8134.7209,NA,37.8937,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8143.8861,9.2241,3.6929,5.5312,27.8191,9.1551,9.1551,0.0000,37.1107,9.6054,-0.0676,8143.8861,NA,45.1293,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8153.1102,9.3102,4.2241,5.0861,27.9461,9.4054,9.2239,0.1815,37.4920,9.2459,-0.3813,8153.1102,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8162.4204,9.5933,3.8099,5.7834,28.1247,9.1519,9.1519,0.0000,37.4277,9.2067,0.0643,8162.4204,NA,46.5431,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8172.0137,9.2532,3.9518,5.3014,27.7720,9.1227,9.1227,0.0000,37.0411,9.2428,0.3866,8172.0137,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8181.2669,9.5619,3.8121,5.7498,27.7270,9.1710,9.1710,0.0000,37.0307,9.2799,0.0104,8181.2669,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8190.8288,9.3207,3.6873,5.6334,27.4078,9.1882,9.1882,0.0000,36.7487,9.2226,0.2820,8190.8288,NA,37.6938,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8200.1495,9.1728,3.8684,5.3044,27.3634,9.1502,9.1502,0.0000,36.6506,9.2402,0.0981,8200.1495,NA,38.9339,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8209.3223,9.2263,3.6974,5.5289,27.4235,9.1477,9.1477,0.0000,36.7180,9.3035,-0.0674,8209.3223,NA,36.1701,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8218.5486,9.3033,3.6154,5.6879,27.4389,9.2109,9.2109,0.0000,36.7952,9.9130,-0.0772,8218.5486,NA,37.4775,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8227.8519,9.1808,3.7177,5.4631,27.5540,9.7003,9.3444,0.3559,37.4049,9.2111,-0.6097,8227.8519,NA,39.3892,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8237.0327,9.2499,3.7329,5.5170,28.1761,9.0909,9.0909,0.0000,37.4352,9.1832,-0.0303,8237.0327,NA,38.6005,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8246.2826,9.3393,4.0052,5.3341,28.1268,9.1035,9.1035,0.0000,37.3685,9.2184,0.0667,8246.2826,NA,37.7820,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8255.6219,9.8637,3.7547,6.1090,27.9817,9.1268,9.1268,0.0000,37.2476,9.2517,0.1209,8255.6219,NA,39.0015,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8265.4856,9.2412,3.7758,5.4654,27.3271,9.1591,9.1591,0.0000,36.6356,9.2116,0.6120,8265.4856,NA,40.2553,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8274.7268,9.2208,3.6303,5.5905,27.3374,9.1427,9.1427,0.0000,36.6060,9.2305,0.0296,8274.7268,NA,37.4640,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8283.9476,9.1722,3.6997,5.4725,27.3375,9.1424,9.1424,0.0000,36.6157,9.2537,-0.0097,8283.9476,NA,40.6929,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8293.1198,9.2582,3.8467,5.4115,27.3966,9.1657,9.1657,0.0000,36.6972,9.2296,-0.0815,8293.1198,NA,37.9455,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8302.3780,9.2338,3.7662,5.4676,27.3906,9.1378,9.1378,0.0000,36.6686,9.2769,0.0286,8302.3780,NA,37.1819,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8311.6118,9.2217,3.7165,5.5052,27.3807,9.1825,9.1825,0.0000,36.7117,9.6110,-0.0431,8311.6118,NA,36.4583,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8320.8335,9.2809,3.5518,5.7291,27.5615,9.3970,9.2333,0.1637,37.1010,9.1724,-0.3893,8320.8335,NA,38.0681,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8330.1144,9.1789,3.7519,5.4270,27.7703,9.0892,9.0892,0.0000,36.9925,9.6220,0.1085,8330.1144,NA,37.2364,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8339.2933,9.2637,4.4363,4.8274,27.8611,9.4135,9.2318,0.1817,37.4356,9.2344,-0.4431,8339.2933,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8348.5570,9.5894,3.7309,5.8585,28.1221,9.1335,9.1335,0.0000,37.4063,9.2350,0.0293,8348.5570,NA,44.8633,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8358.1464,9.1741,3.8140,5.3601,27.7635,9.2195,9.2056,0.0139,37.0519,9.1579,0.3544,8358.1464,NA,NA,NA
