Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8005.9055,9.8010,5.5315,4.2695,29.1351,10.2437,9.9572,0.2865,39.4841,9.7717,-0.2785,8005.9055,NA,35.6994,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8015.7065,9.8653,5.3287,4.5366,29.6349,9.7497,9.7213,0.0284,39.4548,10.2484,0.0293,8015.7065,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8025.5718,9.8286,5.4583,4.3703,29.5313,10.2306,9.9249,0.3057,39.8379,9.7197,-0.3831,8025.5718,NA,45.7252,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8035.4004,10.3699,5.9034,4.4665,29.9333,9.7214,9.7214,0.0000,39.7290,9.7618,0.1089,8035.4004,NA,43.4472,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8045.7703,9.7468,5.6219,4.1249,29.2848,9.7663,9.7558,0.0105,39.1209,9.8987,0.6081,8045.7703,NA,35.2069,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8055.5171,10.1012,5.6316,4.4696,29.3043,9.8915,9.8571,0.0344,39.2728,9.8718,-0.1519,8055.5171,NA,35.1008,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8065.6183,9.7612,5.8668,3.8944,29.0946,9.8753,9.8517,0.0236,39.0434,9.8873,0.2294,8065.6183,NA,34.9832,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8075.3795,9.7933,5.7238,4.0695,29.2238,9.8719,9.8623,0.0096,39.1695,9.8860,-0.1261,8075.3795,NA,36.8646,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8085.1728,9.9546,5.8759,4.0787,29.3024,9.8882,9.8554,0.0328,39.2622,9.8165,-0.0927,8085.1728,NA,36.7558,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8095.1274,9.7699,6.3979,3.3720,29.2360,9.8267,9.7978,0.0289,39.1241,10.0206,0.1381,8095.1274,NA,38.5368,NA
