Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,7993.4016,6.9628,6.7710,0.1918,3.5218,6.7073,5.6406,1.0667,10.3756,7.5104,-0.4747,7993.4016,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8000.3644,7.7375,7.5180,0.2195,4.1065,6.7559,5.9107,0.8452,10.9232,6.2792,-0.5476,8000.3644,NA,16.0945,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8008.1019,6.3102,6.1262,0.1840,3.3341,5.9982,5.2553,0.7429,9.4649,6.9252,1.4583,8008.1019,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8014.4121,6.7687,6.5258,0.2429,3.4117,6.5341,5.7484,0.7857,10.0799,7.0654,-0.6150,8014.4121,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8021.1808,7.1026,6.9137,0.1889,3.7242,6.5119,5.6490,0.8629,10.3766,6.7873,-0.2967,8021.1808,NA,10.3600,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8028.2834,6.8111,6.5624,0.2487,3.5018,6.4244,5.5928,0.8316,10.0613,6.9093,0.3153,8028.2834,NA,13.1539,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8035.0945,6.9399,6.7150,0.2249,3.5413,6.4858,5.5978,0.8880,10.1595,8.1396,-0.0982,8035.0945,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8042.0344,7.7741,7.5581,0.2160,4.3731,6.9283,6.0153,0.9130,11.3592,6.0658,-1.1997,8042.0344,NA,10.2072,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8049.8085,6.3654,6.1827,0.1827,3.5728,5.9029,5.1515,0.7514,9.6509,6.7722,1.7083,8049.8085,NA,10.2790,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8056.1739,6.7802,6.5721,0.2081,3.5681,6.3508,5.6222,0.7286,10.0577,6.9236,-0.4068,8056.1739,NA,9.0520,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8062.9541,7.0483,6.7974,0.2509,3.6964,6.3592,5.5199,0.8393,10.2011,6.9524,-0.1434,8062.9541,NA,9.9791,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8070.0024,6.9533,6.6461,0.3072,3.5428,6.4165,5.5217,0.8948,10.1052,7.2468,0.0959,8070.0024,NA,8.9271,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8076.9557,7.0495,6.8101,0.2394,3.5145,6.7429,5.7128,1.0301,10.3987,8.1047,-0.2935,8076.9557,NA,10.1759,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8084.0052,7.7372,7.5035,0.2337,4.3265,6.9743,5.9454,1.0289,11.4539,6.2397,-1.0552,8084.0052,NA,10.2808,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8091.7424,6.6327,6.4010,0.2317,3.7057,6.1296,5.2927,0.8369,9.9564,7.1833,1.4975,8091.7424,NA,10.5178,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8098.3751,7.1250,6.8353,0.2897,3.5733,6.7988,5.8010,0.9978,10.5070,7.1250,-0.5506,8098.3751,NA,9.7014,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8105.5001,7.1268,6.8659,0.2609,3.4347,6.9326,5.8978,1.0348,10.5070,6.7756,0.0000,8105.5001,NA,10.8272,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8112.6269,7.2452,7.0029,0.2423,3.3734,6.6532,5.7423,0.9109,10.1558,11.0381,0.3512,8112.6269,NA,9.6046,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8119.8721,9.4838,9.2422,0.2416,3.8990,9.9875,7.1062,2.8813,13.9487,6.0636,-3.7929,8119.8721,NA,6.6368,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8129.3559,5.3929,5.1893,0.2036,4.4150,5.2065,5.1988,0.0077,10.5285,6.0797,3.4202,8129.3559,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8134.7488,6.8220,6.6235,0.1985,4.2432,5.8246,5.2600,0.5646,11.2153,7.4392,-0.6868,8134.7488,NA,10.7872,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8141.5708,7.9074,7.6991,0.2083,4.5499,7.1589,6.3449,0.8140,11.8325,8.2327,-0.6172,8141.5708,NA,12.2225,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8149.4782,8.3356,8.1754,0.1602,4.9211,7.1050,6.3197,0.7853,12.1578,7.7725,-0.3253,8149.4782,NA,10.4513,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8157.8138,7.8823,7.6812,0.2011,4.4961,6.9632,6.1277,0.8355,11.5947,7.3468,0.5631,8157.8138,NA,10.2294,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8165.6961,7.4896,7.2959,0.1937,4.0636,6.8596,5.9666,0.8930,11.0592,8.4227,0.5355,8165.6961,NA,9.5741,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8173.1857,8.3460,8.0734,0.2726,4.6239,7.2322,6.2733,0.9589,11.9923,9.0708,-0.9331,8173.1857,NA,11.9967,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8181.5317,8.8053,8.5968,0.2085,4.8901,7.6776,6.3181,1.3595,12.7171,7.9327,-0.7248,8181.5317,NA,11.0700,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8190.3370,7.9222,7.7032,0.2190,4.3165,7.3276,6.2234,1.1042,11.8445,6.9938,0.8726,8190.3370,NA,12.9985,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8198.2592,7.2890,7.0884,0.2006,3.8093,6.9767,5.7855,1.1912,10.9161,7.9868,0.9284,8198.2592,NA,9.9808,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8205.5482,7.5937,7.3901,0.2036,4.0374,7.3938,6.3237,1.0701,11.6139,6.1668,-0.6978,8205.5482,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8213.1419,6.4816,6.2512,0.2304,3.9455,6.1049,5.5736,0.5313,10.1870,7.8768,1.4269,8213.1419,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8219.6235,8.5453,8.3301,0.2152,4.2014,7.2796,6.2579,1.0217,11.5822,6.5345,-1.3952,8219.6235,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8228.1688,5.8642,5.6658,0.1984,2.9506,6.5610,5.7761,0.7849,9.5714,6.3648,2.0108,8228.1688,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,8234.0330,6.5152,6.3460,0.1692,3.7450,6.1889,5.4984,0.6905,10.0720,7.7939,-0.5006,8234.0330,NA,NA,NA
