Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,7996.5191,10.8113,10.5984,0.2129,6.3280,9.5990,9.2124,0.3866,15.9943,18.9513,2.5845,7996.5191,NA,15.3939,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8007.3304,16.0478,15.8189,0.2289,6.5263,17.6049,13.1346,4.4703,24.1343,9.2708,-8.1400,8007.3304,NA,14.3473,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8023.3782,8.2216,8.0467,0.1749,8.0990,9.2541,9.2411,0.0130,17.3573,9.1162,6.7770,8023.3782,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8031.5998,9.9247,9.6628,0.2619,9.1480,9.0998,9.0918,0.0080,18.2519,9.1263,-0.8946,8031.5998,NA,16.7338,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8041.5245,10.2958,10.0358,0.2600,8.3751,9.0740,9.0589,0.0151,17.4535,9.4311,0.7984,8041.5245,NA,19.8611,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8051.8203,9.7130,9.4429,0.2701,7.2055,9.3791,9.3723,0.0068,16.5888,9.1855,0.8647,8051.8203,NA,17.2923,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8061.5333,9.6319,9.3503,0.2816,6.8916,9.1666,9.1569,0.0097,16.0613,9.2726,0.5275,8061.5333,NA,20.4677,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8071.1652,10.2672,10.0603,0.2069,6.4394,9.2579,9.2495,0.0084,15.7020,10.6074,0.3593,8071.1652,NA,21.7506,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8081.4324,10.4607,10.2817,0.1790,5.4503,10.5884,9.5063,1.0821,16.0422,9.3541,-0.3402,8081.4324,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8091.8931,8.8979,8.7340,0.1639,5.5913,9.3411,9.3411,0.0000,14.9356,9.2347,1.1066,8091.8931,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8100.7910,9.7840,9.5781,0.2059,6.0485,9.2207,9.2207,0.0000,15.2724,9.3889,-0.3368,8100.7910,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8110.5750,9.3683,9.1042,0.2641,5.5265,9.3471,9.3471,0.0000,14.8773,10.1116,0.3951,8110.5750,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8119.9433,9.9053,9.6779,0.2274,5.5543,10.0630,9.6612,0.4018,15.6206,9.8655,-0.7433,8119.9433,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8129.8486,9.0021,8.7445,0.2576,5.7944,9.7832,9.6191,0.1641,15.5808,9.4293,0.0398,8129.8486,NA,NA,NA
