Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8012.2372,17.5805,17.3524,0.2281,4.4467,17.3142,14.5801,2.7341,21.8748,19.9597,0.4990,8012.2372,NA,8.9413,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8029.8177,19.7889,19.5601,0.2288,5.0024,19.0093,15.1176,3.8917,24.2540,23.5494,-2.3792,8029.8177,NA,8.8989,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8049.6066,21.4777,21.2530,0.2247,6.6300,21.3005,17.7124,3.5881,28.0145,14.3768,-3.7605,8049.6066,NA,14.4453,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8071.0843,16.9494,16.7173,0.2321,6.5498,14.3638,14.0305,0.3333,20.9136,19.5354,7.1009,8071.0843,NA,8.8250,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8088.0337,18.1895,17.9625,0.2270,3.9642,19.4190,15.3862,4.0328,23.4996,14.9027,-2.5860,8088.0337,NA,10.3622,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8106.2232,16.4517,16.2370,0.2147,5.3236,14.7909,13.6851,1.1058,20.2128,21.1845,3.2868,8106.2232,NA,9.2637,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8122.6749,19.8847,19.6158,0.2689,4.6597,20.1133,17.0777,3.0356,24.9456,20.9376,-4.7328,8122.6749,NA,10.4456,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8142.5596,21.2298,20.9943,0.2355,6.9990,18.9075,15.2627,3.6448,25.9985,15.7510,-1.0529,8142.5596,NA,11.3824,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8163.7894,16.4241,16.2203,0.2038,4.7825,15.6533,13.7730,1.8803,20.5197,17.7646,5.4788,8163.7894,NA,9.1367,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8180.2135,17.1811,16.9461,0.2350,4.1046,17.7556,14.5285,3.2271,21.8602,18.9869,-1.3405,8180.2135,NA,8.9038,NA
