Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8004.6726,20.8241,20.5792,0.2449,5.7295,21.9633,19.5714,2.3919,27.8538,23.0997,2.0526,8004.6726,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8025.4967,23.0039,22.7629,0.2410,7.1607,22.8002,18.2188,4.5814,30.1294,18.9723,-2.2756,8025.4967,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8048.5006,20.6255,20.3243,0.3012,7.4502,18.5624,17.0077,1.5547,26.0978,21.6895,4.0316,8048.5006,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8069.1261,20.8398,20.5980,0.2418,5.4924,21.4140,17.1884,4.2256,27.1618,22.9583,-1.0640,8069.1261,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8089.9659,21.9394,21.6766,0.2628,6.3930,22.6549,20.1810,2.4739,29.2803,19.5558,-2.1185,8089.9659,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8111.9053,20.6799,20.4493,0.2306,7.7161,19.0462,17.0479,1.9983,26.8967,20.2232,2.3836,8111.9053,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8132.5852,20.8485,20.5927,0.2558,6.2299,20.1255,16.9811,3.1444,26.4400,22.5046,0.4567,8132.5852,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8153.4337,21.5136,21.2423,0.2713,5.9479,22.1438,17.7674,4.3764,28.0961,20.6821,-1.6561,8153.4337,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8174.9473,21.6492,21.3858,0.2634,6.5956,20.6621,19.3302,1.3319,27.2646,21.2109,0.8315,8174.9473,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8196.5965,20.2731,20.0235,0.2496,5.8056,20.8746,17.4049,3.4697,26.8263,20.0314,0.4383,8196.5965,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8216.8696,20.9308,20.6662,0.2646,6.5701,20.0086,16.8262,3.1824,26.5846,22.6577,0.2417,8216.8696,NA,11.7614,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8237.8004,22.0055,21.7308,0.2747,6.6786,21.4316,17.6934,3.7382,28.3115,22.8253,-1.7269,8237.8004,NA,10.4381,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8259.8059,21.5755,21.2961,0.2794,6.4167,22.5955,20.3394,2.2561,29.1313,17.7723,-0.8198,8259.8059,NA,25.2628,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8281.3814,20.5134,20.2243,0.2891,7.5658,17.7591,16.6223,1.1368,25.3281,22.1407,3.8032,8281.3814,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8301.8948,20.5894,20.3361,0.2533,4.8394,21.9504,17.5018,4.4486,26.9554,21.2363,-1.6273,8301.8948,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8322.4842,21.0206,20.7552,0.2654,6.4654,20.9985,17.8480,3.1505,27.6023,21.8876,-0.6469,8322.4842,NA,10.4183,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8343.5048,21.0345,20.7719,0.2626,6.6874,21.5862,20.0682,1.5180,28.4693,19.5188,-0.8670,8343.5048,NA,14.2990,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8364.5393,20.9539,20.6892,0.2647,7.5024,19.3647,17.4251,1.9396,26.9536,20.7383,1.5157,8364.5393,NA,9.8196,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8385.4932,20.9132,20.6589,0.2543,6.0074,20.6367,17.1577,3.4790,26.7380,27.6739,0.2156,8385.4932,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8406.4064,25.7370,25.4669,0.2701,9.5821,23.8047,19.4163,4.3884,33.4987,19.9847,-6.7607,8406.4064,NA,NA,NA
