Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8005.3755,21.7655,21.5425,0.2230,4.7603,22.2958,15.8644,6.4314,27.1802,18.2837,-3.6678,8005.3755,NA,8.1966,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8027.1410,17.9825,17.7174,0.2651,5.4334,18.1682,14.9830,3.1852,23.6984,19.8994,3.4818,8027.1410,NA,8.4825,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8045.1235,19.4208,19.1823,0.2385,6.2678,19.2501,16.7653,2.4848,25.6153,17.3774,-1.9169,8045.1235,NA,10.3804,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8064.5443,19.1400,18.8742,0.2658,6.2149,17.2709,14.4545,2.8164,23.5719,23.3245,2.0434,8064.5443,NA,7.7602,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8083.6843,22.0472,21.6792,0.3680,6.0392,21.6088,17.0033,4.6055,27.7564,29.6322,-4.1845,8083.6843,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8105.7315,29.1732,28.5630,0.6102,11.7395,23.5261,18.6073,4.9188,35.3414,17.9386,-7.5850,8105.7315,NA,14.7173,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8134.9047,18.6904,18.4605,0.2299,6.1795,17.9226,17.0888,0.8338,24.1068,18.8641,11.2346,8134.9047,NA,8.6547,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8153.5951,20.1447,19.9283,0.2164,7.8231,16.3796,15.1652,1.2144,24.2805,19.3564,-0.1737,8153.5951,NA,7.5185,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8173.7398,18.5264,18.2941,0.2323,5.2762,18.1216,15.1856,2.9360,23.4922,18.2843,0.7883,8173.7398,NA,6.8774,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8192.2662,18.3354,18.0830,0.2524,5.4191,17.7441,15.1371,2.6070,23.2501,25.6237,0.2421,8192.2662,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8210.6016,23.0233,22.7499,0.2734,4.9808,25.4567,19.2306,6.2261,30.5384,14.5167,-7.2883,8210.6016,NA,18.7843,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8233.6249,17.3279,17.0803,0.2476,7.5243,14.3191,14.3191,0.0000,22.0318,20.8774,8.5066,8233.6249,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8250.9528,20.1858,19.9413,0.2445,5.1256,20.3750,16.3267,4.0483,25.5813,22.5436,-3.5495,8250.9528,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8271.1386,22.0023,21.7511,0.2512,9.0707,18.7460,16.4184,2.3276,27.9391,16.9429,-2.3578,8271.1386,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8293.1409,15.7192,15.4131,0.3061,5.9515,16.8025,16.8025,0.0000,22.8797,17.8225,5.0594,8293.1409,NA,19.6412,NA
