Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8002.2291,16.4738,16.1837,0.2901,6.2653,15.2184,14.7511,0.4673,21.5757,16.7005,3.8734,8002.2291,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8018.7029,18.0043,17.7392,0.2651,5.1203,16.5733,14.6805,1.8928,21.8024,19.9602,-0.2267,8018.7029,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8036.7072,19.6112,19.3484,0.2628,5.3438,18.1543,15.5996,2.5547,23.7583,19.6464,-1.9559,8036.7072,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8056.3184,18.1348,17.8403,0.2945,4.1617,19.4230,17.8005,1.6225,23.7935,20.8532,-0.0352,8056.3184,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8074.4532,18.9062,18.6437,0.2625,6.1056,20.3369,15.1074,5.2295,26.5119,15.8580,-2.7184,8074.4532,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8093.3594,19.1641,18.8804,0.2837,7.6148,15.7380,14.3238,1.4142,23.4637,21.2291,3.0482,8093.3594,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8112.5235,19.8826,19.5824,0.3002,6.2851,19.1257,16.3032,2.8225,25.5287,16.7231,-2.0650,8112.5235,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8132.4061,16.5994,16.3478,0.2516,5.6611,16.6234,16.6234,0.0000,22.3692,16.2845,3.1595,8132.4061,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8149.0055,17.4803,17.2228,0.2575,5.7854,16.1877,14.4254,1.7623,22.0543,16.9571,0.3149,8149.0055,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8166.4858,16.7084,16.4682,0.2402,4.5877,16.7736,14.5696,2.2040,21.5311,17.8359,0.5232,8166.4858,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8183.1942,17.9656,17.6406,0.3250,4.8910,17.6591,15.3825,2.2766,22.6586,17.5328,-1.1275,8183.1942,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8201.1598,16.3833,16.0941,0.2892,4.7081,17.3948,17.0666,0.3282,22.2258,16.3732,0.4328,8201.1598,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8217.5431,17.1182,16.8063,0.3119,5.8585,16.2751,14.8165,1.4586,22.2157,16.7917,0.0101,8217.5431,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8234.6613,16.7506,16.4612,0.2894,5.1106,16.5459,15.1407,1.4052,21.8892,17.5263,0.3265,8234.6613,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8251.4119,18.1145,17.8212,0.2933,5.4165,17.1691,15.1610,2.0081,22.6649,17.2858,-0.7757,8251.4119,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8269.5264,16.1359,15.8547,0.2812,4.5600,17.1710,16.9021,0.2689,21.8362,16.5686,0.8287,8269.5264,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8285.6623,17.3103,17.0688,0.2415,5.7141,16.3924,14.8081,1.5843,22.2689,17.6773,-0.4327,8285.6623,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8302.9726,18.0986,17.8492,0.2494,4.9713,17.5336,14.9924,2.5412,22.6359,16.3673,-0.3670,8302.9726,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8321.0712,16.6405,16.3985,0.2420,4.6109,16.1451,14.5614,1.5837,20.9046,18.9017,1.7313,8321.0712,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8337.7117,16.9026,16.6422,0.2604,4.3285,18.7302,17.4246,1.3056,23.1658,14.8109,-2.2612,8337.7117,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8354.6143,16.8032,16.5441,0.2591,6.2801,14.6410,14.4004,0.2406,21.0741,17.4527,2.0917,8354.6143,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8371.4175,17.3478,17.0425,0.3053,4.3415,17.2311,14.7603,2.4708,21.7236,16.5734,-0.6495,8371.4175,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8388.7653,16.9969,16.6880,0.3089,4.4471,16.3441,14.6261,1.7180,20.9492,18.3136,0.7744,8388.7653,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8405.7622,16.5713,16.3031,0.2682,4.0197,18.1360,17.0985,1.0375,22.2659,14.9649,-1.3167,8405.7622,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8422.3335,16.3447,16.0819,0.2628,5.7095,14.7811,14.2310,0.5501,20.6595,17.9634,1.6064,8422.3335,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8438.6782,17.4981,17.2079,0.2902,4.7037,17.4637,15.2218,2.2419,22.2782,16.0213,-1.6187,8438.6782,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8456.1763,18.0090,17.6414,0.3676,4.8512,15.8652,14.3628,1.5024,20.8014,20.0204,1.4768,8456.1763,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8474.1853,17.0738,16.8039,0.2699,4.4468,18.2488,17.1935,1.0553,22.8128,15.2538,-2.0114,8474.1853,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8491.2591,16.1702,15.8666,0.3036,5.7533,14.9783,14.6119,0.3664,20.9928,16.6546,1.8200,8491.2591,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8507.4293,17.1495,16.8599,0.2896,4.8488,16.5145,14.8366,1.6779,21.4772,16.9949,-0.4844,8507.4293,NA,NA,NA
