Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8020.3997,21.7215,21.3721,0.3494,5.1218,21.6232,19.5547,2.0685,26.7491,21.4565,1.7206,8020.3997,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8042.1212,23.8939,23.5713,0.3226,6.0417,20.3598,16.8662,3.4936,26.4841,23.2643,0.2650,8042.1212,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8066.0151,20.4862,20.2099,0.2763,2.9972,22.8573,17.9790,4.8783,25.8545,21.9813,0.6296,8066.0151,NA,11.5384,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8086.5013,23.4918,23.2349,0.2569,5.3683,21.9813,17.6160,4.3653,27.3496,22.4327,-1.4951,8086.5013,NA,13.5287,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8109.9931,21.2352,20.9619,0.2733,3.8578,22.3479,19.2584,3.0895,26.2905,20.7917,1.0591,8109.9931,NA,19.9690,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8131.2283,21.8094,21.4917,0.3177,5.4194,20.4205,17.2607,3.1598,25.8470,21.0827,0.4435,8131.2283,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8153.0377,21.2289,20.9235,0.3054,5.8809,19.1714,16.9156,2.2558,25.1203,20.2501,0.7267,8153.0377,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8174.2666,20.5764,20.3239,0.2525,3.9065,20.1607,16.0983,4.0624,24.1415,24.2222,0.9788,8174.2666,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8194.8430,22.2278,21.8542,0.3736,4.5525,23.1174,20.0542,3.0632,27.7873,18.5028,-3.6458,8194.8430,NA,NA,NA
Gw2-64.exe,15904,0x2700ABEFAE0,DXGI,0,512,1,Hardware: Independent Flip,8217.0708,19.9055,19.5985,0.3070,5.5707,18.4916,16.2335,2.2581,24.0623,21.1951,3.7250,8217.0708,NA,NA,NA
