Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,7988.3463,16.7044,16.5053,0.1991,12.2027,10.7519,9.9024,0.8495,22.9595,6.2210,-12.7286,7988.3463,NA,23.2176,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8005.0507,7.9232,7.6920,0.2312,6.3081,6.1635,6.1456,0.0179,12.4761,5.8119,10.4834,8005.0507,NA,11.4364,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8012.9739,7.4795,7.1610,0.3185,4.6334,5.6373,5.5766,0.0607,10.3648,7.5343,2.1113,8012.9739,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8020.4534,7.2273,7.0143,0.2130,2.9670,7.3632,6.5065,0.8567,10.4196,7.7240,-0.0548,8020.4534,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8027.6807,7.7569,7.5128,0.2441,3.2444,7.5901,6.5317,1.0584,10.9163,7.2602,-0.4967,8027.6807,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8035.4376,7.5494,7.3026,0.2468,3.2117,7.1302,6.4069,0.7233,10.4196,8.4712,0.4967,8035.4376,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8042.9870,7.7354,7.5680,0.1674,3.0924,8.2490,6.8489,1.4001,11.3414,6.8751,-0.9218,8042.9870,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8050.7224,7.6100,7.2801,0.3299,3.6060,6.7961,5.9494,0.8467,10.4811,8.0787,0.8603,8050.7224,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8058.3324,7.7593,7.5479,0.2114,3.4605,7.4187,6.5786,0.8401,10.9498,7.4714,-0.4687,8058.3324,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8066.0917,7.6523,7.4528,0.1995,3.2532,7.2903,6.2939,0.9964,10.6619,7.3008,0.2879,8066.0917,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8073.7440,7.2222,7.0259,0.1963,3.0972,7.1200,6.3255,0.7945,10.3104,7.2024,0.3515,8073.7440,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8080.9662,7.2298,7.0043,0.2255,3.1585,7.1321,6.3605,0.7716,10.2906,7.0083,0.0198,8080.9662,NA,11.1554,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8088.1960,7.0325,6.8585,0.1740,3.0608,6.9350,6.2605,0.6745,10.0691,7.4861,0.2215,8088.1960,NA,NA,NA
