Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,7998.2929,5.6400,5.4647,0.1753,2.2332,6.2150,5.3487,0.8663,8.5027,6.9807,2.2454,7998.2929,NA,10.3573,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8003.9329,6.6918,6.4412,0.2506,3.2985,6.4862,5.4937,0.9925,9.8434,6.5737,-1.3407,8003.9329,NA,12.3452,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8010.6247,6.8670,6.6649,0.2021,3.6153,6.0590,5.4223,0.6367,9.7253,6.7791,0.1181,8010.6247,NA,13.9219,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8017.4917,6.7260,6.4783,0.2477,3.2696,6.3096,5.5643,0.7453,9.6374,6.4857,0.0879,8017.4917,NA,8.7019,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8024.2177,6.5941,6.3723,0.2218,3.3184,6.0273,5.2799,0.7474,9.3971,6.6179,0.2403,8024.2177,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8030.8118,6.4700,6.2735,0.1965,3.2496,6.1148,5.4098,0.7050,9.4209,6.7253,-0.0238,8030.8118,NA,13.8078,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8037.2818,6.7680,6.5872,0.1808,3.4286,6.1757,5.4604,0.7153,9.6762,6.3504,-0.2553,8037.2818,NA,11.5260,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8044.0498,6.4564,6.2375,0.2189,3.0504,6.1518,5.2383,0.9135,9.2586,6.9272,0.4176,8044.0498,NA,12.8808,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8050.5062,6.7127,6.5197,0.1930,3.1880,6.4528,5.5930,0.8598,9.7294,6.1511,-0.4708,8050.5062,NA,9.8076,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8057.2189,6.4392,6.2659,0.1733,3.1004,5.9925,5.2377,0.7548,9.1678,6.3359,0.5616,8057.2189,NA,8.9564,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8063.6581,6.2769,6.1109,0.1660,2.9440,6.0536,5.4369,0.6167,9.0645,8.2976,0.1033,8063.6581,NA,12.2944,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8069.9350,7.6984,7.5144,0.1840,4.1577,6.8602,5.9399,0.9203,11.0852,6.3591,-2.0207,8069.9350,NA,10.5891,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8077.6334,7.0053,6.7773,0.2280,3.5712,6.1208,5.2858,0.8350,9.7459,6.9236,1.3393,8077.6334,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8084.6387,6.5854,6.3708,0.2146,3.2982,6.3136,5.5701,0.7435,9.6642,7.0280,0.0817,8084.6387,NA,14.8634,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8091.2241,6.9297,6.7445,0.1852,3.7077,6.3933,5.6686,0.7247,10.1068,6.2922,-0.4426,8091.2241,NA,10.9050,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8098.1538,6.5141,6.3505,0.1636,3.3019,6.1078,5.2029,0.9049,9.4693,6.0809,0.6375,8098.1538,NA,11.1904,NA
