Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,7999.6550,7.2481,6.9705,0.2776,3.7886,7.1846,6.1676,1.0170,11.0763,6.4683,-0.5405,7999.6550,NA,12.4519,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8006.9031,7.0037,6.7503,0.2534,3.9036,6.3248,5.7130,0.6118,10.2965,7.0602,0.7798,8006.9031,NA,8.9226,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8013.9068,6.9465,6.7523,0.1942,3.3526,6.9951,6.2828,0.7123,10.3530,6.5529,-0.0565,8013.9068,NA,9.9765,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8020.8533,6.6538,6.4382,0.2156,3.4651,6.4943,5.8911,0.6032,9.9594,6.4466,0.3936,8020.8533,NA,10.5412,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8027.5071,6.5224,6.3060,0.2164,3.3056,6.3795,5.8138,0.5657,9.7522,11.4984,0.2072,8027.5071,NA,12.8448,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8034.0295,10.0899,9.8245,0.2654,4.6520,10.0725,7.4471,2.6254,14.7282,5.4381,-4.9760,8034.0295,NA,6.4779,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8044.1194,4.9148,4.7297,0.1851,4.6485,5.4245,5.4245,0.0000,10.0764,5.2755,4.6518,8044.1194,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8049.0342,7.3012,7.0850,0.2162,5.1752,5.1968,5.1968,0.0000,10.4371,7.4654,-0.3607,8049.0342,NA,13.1951,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8056.3354,7.0826,6.8736,0.2090,3.5317,7.0115,6.3610,0.6505,10.6013,6.2526,-0.1642,8056.3354,NA,10.6619,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8063.4180,6.3474,6.1622,0.1852,3.5996,6.1058,5.6103,0.4955,9.7713,7.0315,0.8300,8063.4180,NA,8.9151,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8069.7654,6.8896,6.6355,0.2541,3.4978,6.8776,6.1172,0.7604,10.4554,6.8193,-0.6841,8069.7654,NA,11.9497,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8076.6550,6.9637,6.7044,0.2593,3.5868,6.7484,6.2034,0.5450,10.3851,6.3247,0.0703,8076.6550,NA,10.7605,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8083.6187,6.2637,6.0789,0.1848,3.4366,6.3095,5.7656,0.5439,9.7461,7.5769,0.6390,8083.6187,NA,11.0890,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8089.8824,6.9156,6.6891,0.2265,3.4824,7.5769,6.3831,1.1938,11.0593,6.5646,-1.3132,8089.8824,NA,10.6640,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8096.7980,6.7069,6.5205,0.1864,4.1437,6.5612,5.9207,0.6405,10.7083,6.5776,0.3510,8096.7980,NA,11.2312,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8103.5049,7.1050,6.9270,0.1780,4.0111,6.4966,5.7206,0.7760,10.5790,6.8850,0.1293,8103.5049,NA,11.8081,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8110.6099,6.9661,6.7494,0.2167,3.5329,6.8194,6.1240,0.6954,10.3590,7.3097,0.2200,8110.6099,NA,12.6939,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8117.5760,7.0902,6.8822,0.2080,3.5887,7.0783,6.4694,0.6089,10.7026,6.2734,-0.3436,8117.5760,NA,10.0006,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8124.6662,6.4522,6.2269,0.2253,3.6230,6.2595,5.7647,0.4948,9.8858,6.5722,0.8168,8124.6662,NA,10.2764,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8131.1184,6.6237,6.4421,0.1816,3.5006,6.5012,5.9174,0.5838,10.0058,7.0572,-0.1200,8131.1184,NA,8.8469,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8137.7421,7.1840,6.8675,0.3165,3.4615,6.8985,6.1036,0.7949,10.4393,7.2649,-0.4335,8137.7421,NA,9.9095,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8144.9261,7.2138,6.8527,0.3611,3.3350,7.1852,6.2969,0.8883,10.5202,6.7143,-0.0809,8144.9261,NA,11.1739,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8152.1399,6.7192,6.5142,0.2050,3.3064,6.6444,5.8403,0.8041,10.0207,7.7708,0.4995,8152.1399,NA,9.8735,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8158.8591,7.5179,7.3275,0.1904,3.8668,7.2055,6.4404,0.7651,11.0723,6.8382,-1.0516,8158.8591,NA,9.6553,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8166.3770,7.0264,6.8404,0.1860,3.5544,6.7687,5.8913,0.8774,10.3926,9.7172,0.6797,8166.3770,NA,12.4954,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8173.4034,8.9102,8.7065,0.2037,4.8735,8.2057,7.3071,0.8986,13.0834,7.1195,-2.6908,8173.4034,NA,14.2074,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8182.3136,7.6279,7.4581,0.1698,4.2641,6.9582,6.0874,0.8708,11.2927,7.0597,1.7907,8182.3136,NA,11.3303,NA
