Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,7997.5503,15.4559,15.2705,0.1854,7.3434,13.0969,11.7361,1.3608,20.5335,14.1875,-2.7464,7997.5503,NA,18.0568,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8013.0062,14.2815,14.0785,0.2030,6.1841,13.0095,11.0362,1.9733,19.2651,13.5943,1.2684,8013.0062,NA,18.2463,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8027.2877,13.3882,13.1523,0.2359,5.5873,12.9866,11.1715,1.8151,18.5779,11.9269,0.6872,8027.2877,NA,15.8417,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8040.6759,12.4887,12.2816,0.2071,5.2691,11.7720,10.5923,1.1797,17.1166,17.4998,1.4613,8040.6759,NA,17.7634,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8053.1646,15.8291,15.5880,0.2411,5.8494,16.2754,12.5087,3.7667,22.1277,9.8010,-5.0111,8053.1646,NA,9.2596,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8068.9937,9.2569,8.9835,0.2734,6.3082,9.7874,9.7762,0.0112,16.0996,10.0659,6.0281,8068.9937,NA,NA,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8078.2506,12.1097,11.8794,0.2303,6.8524,9.9849,9.7867,0.1982,16.9086,13.3262,-0.8090,8078.2506,NA,15.1354,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8090.3603,12.7028,12.4260,0.2768,4.9939,13.1276,11.5038,1.6238,18.1251,12.4860,-1.2165,8090.3603,NA,18.4617,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8103.0631,12.7379,12.4969,0.2410,5.4448,12.4591,10.7759,1.6832,17.9083,11.7362,0.2168,8103.0631,NA,16.9506,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8115.8010,12.0486,11.8231,0.2255,5.2134,11.6889,10.5463,1.1426,16.9066,13.5059,1.0017,8115.8010,NA,16.6828,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8127.8496,13.1015,12.8900,0.2115,5.0129,13.1914,11.1037,2.0877,18.3639,10.4604,-1.4573,8127.8496,NA,16.1881,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8140.9511,10.7811,10.5973,0.1838,5.2759,10.3624,9.8827,0.4797,15.7228,13.3961,2.6411,8140.9511,NA,14.6434,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8151.7322,12.6067,12.4242,0.1825,5.0027,13.3286,11.1272,2.2014,18.3378,12.3015,-2.6150,8151.7322,NA,18.0473,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8164.3389,12.8452,12.5504,0.2948,5.8299,12.1962,10.7151,1.4811,18.0326,12.2531,0.3052,8164.3389,NA,16.3464,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8177.1841,12.2215,12.0515,0.1700,5.2564,12.0650,10.6139,1.4511,17.4405,12.2255,0.5921,8177.1841,NA,16.5998,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8189.4056,12.3017,12.1136,0.1881,5.2736,12.1661,10.3830,1.7831,17.4445,12.1721,-0.0040,8189.4056,NA,18.8226,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8201.7073,12.2004,11.9901,0.2103,5.2296,12.0804,10.7462,1.3342,17.3149,12.7735,0.1296,8201.7073,NA,16.9964,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8213.9077,12.4400,12.2281,0.2119,5.1596,12.7204,10.8442,1.8762,17.8880,10.6051,-0.5731,8213.9077,NA,17.7689,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8226.3477,10.8928,10.6234,0.2694,5.5060,10.5382,10.2366,0.3016,16.0531,12.0650,1.8349,8226.3477,NA,18.3730,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8237.2405,12.3385,12.0673,0.2712,5.2259,11.8809,10.5591,1.3218,17.2253,12.8523,-1.1722,8237.2405,NA,18.4359,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8249.5790,12.2635,12.0096,0.2539,4.9444,12.7900,11.0140,1.7760,17.7391,12.3437,-0.5138,8249.5790,NA,19.2908,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8261.8425,12.4508,12.0951,0.3557,5.5523,12.2638,10.6862,1.5776,17.8193,11.7049,-0.0802,8261.8425,NA,17.6346,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8274.2933,11.7636,11.5139,0.2497,5.3757,11.6943,10.6522,1.0421,17.0734,11.9842,0.7459,8274.2933,NA,15.3367,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8286.0569,12.1848,11.9588,0.2260,5.3184,11.9030,10.7359,1.1671,17.2940,10.9339,-0.2206,8286.0569,NA,17.3219,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8298.2417,10.7243,10.5328,0.1915,5.1399,10.8155,10.2994,0.5161,16.0431,14.6484,1.2509,8298.2417,NA,18.2634,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8308.9660,14.0160,13.8319,0.1841,6.7015,13.2620,11.7806,1.4814,19.9672,12.4292,-3.9241,8308.9660,NA,16.9010,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8322.9820,13.0907,12.8405,0.2502,6.1759,12.1383,10.5611,1.5772,18.3804,11.0227,1.5868,8322.9820,NA,17.3243,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8336.0727,11.1344,10.9133,0.2211,5.3285,10.9334,10.5007,0.4327,16.3124,10.9702,2.0680,8336.0727,NA,20.3591,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8347.2071,11.0679,10.8811,0.1868,5.1866,10.9574,10.1971,0.7603,16.1482,11.8390,0.1642,8347.2071,NA,15.3284,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8358.2750,11.4785,11.2936,0.1849,5.0942,11.8182,10.6157,1.2025,16.9193,10.7473,-0.7711,8358.2750,NA,21.1688,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8369.7535,11.0373,10.8066,0.2307,5.5023,10.6212,10.1960,0.4252,16.1881,11.3217,0.7312,8369.7535,NA,21.8909,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8380.7908,11.2876,11.0423,0.2453,5.1877,11.2793,10.3908,0.8885,16.4725,11.5961,-0.2844,8380.7908,NA,19.2400,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8392.0784,11.6237,11.3658,0.2579,5.2319,11.5452,10.4124,1.1328,16.7810,11.8012,-0.3085,8392.0784,NA,18.8275,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,512,1,Hardware: Independent Flip,8403.7021,11.5122,11.3107,0.2015,5.2100,11.7427,10.6148,1.1279,16.9585,10.5329,-0.1775,8403.7021,NA,24.6306,NA
